scope1_emissions,scope2_emissions,scope3_emissions,emission_reduction_score,renewable_energy_share,community_investment,diversity_women_ratio,health_safety_score,board_esg_oversight_score,sustainable_finance,total_revenue,reporting_quality_score
2765.0,2765.0,2332000.0,4.0,0.42,137000.0,0.22,4.0,4.0,108000000.0,646100000.0,4.0
2885.0,43.0,3451000000.0,4.0,1.0,6500000.0,0.42,2.0,4.0,29000000.0,2640000000.0,4.0
24201.0,229954.0,98289.0,4.0,1.0,160000000.0,0.4,4.0,4.0,820000000000.0,54143000000.0,4.0
1597.0,2.0,58337.0,4.0,0.9990000000000001,17500000.0,0.31,4.0,4.0,1981000000.0,2554000000.0,4.0
12922.0,51829.0,603827.0,4.0,1.0,11100000.0,0.4,2.0,4.0,29300000000.0,14752000000.0,4.0
29.58,0.0,33.8,2.0,1.0,125000.0,0.405,2.0,2.0,24199000000.0,246000000.0,2.0
7147.0,96117.0,19825000000.0,4.0,1.0,36300000.0,0.45,2.0,4.0,52000000000.0,17502000000.0,4.0
1300.0,726.0,2101.0,2.0,0.4587,1326.0,0.49200000000000005,2.0,2.0,2500000000.0,1300000000.0,2.0
1142.0,3116.0,16114.0,4.0,1.0,10415.0,0.52,2.0,4.0,135000000.0,11743.0,4.0
1673.0,22.0,1103.0,4.0,0.99,850000.0,0.478,4.0,4.0,25380000.0,602800000.0,4.0
31270.0,39379.0,4618.0,4.0,0.21,5000000000.0,0.16,4.0,4.0,656000000000.0,2224584000000.0,4.0
1238.41,0.0,18532127.85,4.0,1.0,4000000.0,0.58,4.0,4.0,2700000000.0,2607000000.0,4.0
16918.0,167174.0,1090280000000.0,4.0,0.584,105000000.0,0.341,4.0,4.0,83700000000.0,66058000000.0,4.0
12403.0,33526.0,43450.0,4.0,0.48,10519908.0,0.35,4.0,4.0,11049.0,14091.0,4.0
41198.54,62839.8,1320000.0,4.0,0.37,1993372.9,0.348,4.0,4.0,4374277000.0,4612341400.0,4.0
12922.0,51829.0,603827.0,4.0,1.0,11100000.0,0.4,2.0,4.0,29300000000.0,14752000000.0,4.0
692.0,3678.0,15407.0,4.0,0.999,119.0,0.61,4.0,4.0,86460.0,73057.0,4.0
2261.0,481.0,10409489.0,4.0,1.0,1354640.0,0.5429999999999999,4.0,4.0,1300000000.0,1400000000.0,4.0
26072.0,21399.0,29683.0,4.0,0.904,59600000.0,0.42,4.0,4.0,82000000000.0,42166000000.0,4.0
